animal_id	clinical_status	trt_rep	weeks_post_infection	nanodrop_concentration	nanodrop_260.280	nanodrop_260.230	nanochip_rin	nanochip_concentration
856	uninfected	cont1	0	101.6	2.03	1.865	9.6	68
856	uninfected	cont1	4	103.3	1.99	3.78	9.2	113
856	uninfected	cont1	10	170	2.01	1.94	7.9	129
855	uninfected	cont2	0	83.7	2.06	1.61	9.6	43
855	uninfected	cont2	4	96.45	2.01	1.83	9.4	74
855	uninfected	cont2	10	128.9	2.02	1.92	8.1	179
849	uninfected	cont3	0	114.6	2.04	1.84	8.9	92
849	uninfected	cont3	4	153.5	2.05	1.905	9.2	76
849	uninfected	cont3	10	130.45	2.04	2.055	8.1	36
863	uninfected	cont4	0	71.2	2.03	1.98	9.6	62
863	uninfected	cont4	4	97.35	2.03	1.77	9.2	86
863	uninfected	cont4	10	127.05	2.06	2.005	8.7	106
846	uninfected	cont5	0	65.8	2.05	0.975	9.1	53
846	uninfected	cont5	4	144.7	2.05	1.92	9.2	143
846	uninfected	cont5	10	119.8	2.04	2.03	9.2	95
858	uninfected	inf1	0	100.55	2	1.85	9.2	87
858	infected	inf1	4	125.05	2.05	1.565	9.2	92
858	infected	inf1	10	143	2.09	2.03	9.6	101
867	uninfected	inf2	0	90.3	1.98	1.805	9.1	80
867	infected	inf2	4	68.65	2.03	1.7	9.2	48
867	infected	inf2	10	88	2.04	0.93	9.6	72
865	uninfected	inf3	0	79.75	2.05	1.015	9.4	61
865	infected	inf3	4	95.8	2.07	1.52	9.2	63
865	infected	inf3	10	148.2	2.03	1.975	9.2	171
851	uninfected	inf4	0	72.95	2.06	1.6	9.5	48
851	infected	inf4	4	103.75	2.06	1.805	9.3	57
851	infected	inf4	10	143.6	2.03	2.005	9.8	126
864	uninfected	inf5	0	65.05	2.03	1.7	9.1	33
864	infected	inf5	4	84.75	2.04	1.91	9.3	38
864	infected	inf5	10	107.65	2.03	1.825	9.5	79
869	uninfected	inf6	0	79.05	2	1.965	8.4	32
869	infected	inf6	4	77.4	2.03	0.965	8.9	60
869	infected	inf6	10	177.35	2.05	2.06	8	179
861	uninfected	inf8	0	108	2.11	1.935	9.2	77
861	infected	inf8	4	106.25	2.04	1.725	9.3	61
861	infected	inf8	10	145.75	2.04	1.93	9.7	80
847	uninfected	inf9	0	76.55	2	1.47	8.8	77
847	infected	inf9	4	101.9	2.03	1.855	8.5	97
847	infected	inf9	10	130.35	2.07	1.975	8.5	92
