	InfAvsCont_wk4_up	InfBvsCont_wk4_up	InfBvsCont_wk4_down	InfAvsB_wk4_up	InfAvsB_wk4_down	InfBvsCont_wk10_up	InfBvsCont_wk10_down
3T3-L1	1.11060163	0.863216336	0.201957634	1.270012678	1.426802646	1.658229086	1.2762385
B Cells (GL7 neg; KLH)	0	0.389534037	1.365031964	0.149492991	1.275388128	1.231099986	0.654170578
B Cells (GL7 pos; Alum)	0	0.425514345	1.455898186	0.14008807	0.687230314	1.49907751	0.877365059
B Cells (GL7 pos; KLH)	0	0.513965649	1.303804564	0.124915361	0.642092263	1.177312578	0.647156822
B Cells (GL7 neg; Alum)	0	0.482700519	1.291387178	0.167883916	1.015081431	1.333361261	0.375735708
B Cells Marginal Zone	0	0.405120818	1.63009205	0.106711502	1.71934011	1.875154238	0.658219812
BA/F3	0.698628244	1.075756874	0.448670466	0.048804387	0.781267078	3.39155422	0.399921834
C2C12	0.195876714	0.297758108	0.474251003	1.279905856	1.151263193	0.590294583	0.512952857
Stem Cells C3H/10T1/2	0.564681281	0.29765452	0.036220809	0.765289358	0.454219925	0.709071267	0.231550079
Embryonic Fibroblasts	0.15796822	0.568385886	0.117691502	0.264051305	0.596867295	0.71507195	0.445909188
NK Cells	0	0.056481121	3.175239166	0.198349584	0.16984567	0.3241706	4.057518664
RAW 264.7 Cells	0.628569894	2.940624111	0.355371162	1.251761538	0.601734039	11.60715374	0.211505049
CD4+ T cells	0	0.010037687	1.5639283	0.105536061	0.002334166	0.001047792	4.496769087
CD8+ T cells	0	0.009746006	1.754287676	0.104587988	0.014799555	0.002297122	7.217776654
Foxp3+ Tcells	0	0.151307622	1.178806983	0.01416567	0.103987559	0.074423622	2.603408629
Adipose Brown	0.347187175	2.810432236	0.002088676	0.339399695	0.802465033	1.414921433	0.007306205
Adipose White	0.373189762	0.18241451	0.026173274	0.548959496	0.564480002	0.532398577	0.185632472
Adrenal Gland	0.143582199	0.248784466	0.217459256	0.078818164	0.350246613	0.048974989	0.709858933
Amygdala	0.620246073	8.07E-07	0.086796775	0.37837623	0.007809192	1.05E-05	1.839578167
Bladder	0.10631768	0.736812227	0.181156609	0.762742758	0.10527332	0.539382773	0.369952069
Bone	0	3.478502236	0.670579334	2.851590295	0.833376926	6.152518271	0.263136849
Bone Marrow	0	4.519187292	1.845215301	4.878323286	0.763138121	8.041697007	0.612189412
Cerebellum	0.879942308	0.00026758	0.729215187	0.91615697	0.017413063	0.001274117	4.585840183
Cerebral Cortex	0.637461107	5.55E-06	0.187262935	0.624776226	0.004418747	0.000100458	2.307714744
Cerebral Cortex Prefrontal	0.592834976	1.21E-06	0.231725874	0.72924363	0.002651253	1.17E-05	2.09426925
Ciliary Bodies	0.776330718	0.000212753	0.343414992	1.547127273	0.007961951	0.001892292	0.311411619
Common Myeloid Progenitor	0	0.132610737	2.367097163	0.674060638	0.081443478	0.525361129	0.682549086
Cornea	1.006470482	0.008297279	0.029570245	0.319801855	0.076826009	0.065060973	0.066050851
CD8a+ Dend. Cells Lymphoid	0.254589251	3.432672159	1.514480841	1.373871474	2.976598448	7.005226281	0.371571262
CD8a+ Dend. Cells Myeloid	0	8.304959589	1.974315727	2.277421537	4.863664957	16.13440454	0.726071105
B220+ Dend. Cells	0.718489925	4.222922576	0.349428215	0.056296398	1.413605613	4.57476268	0.221142128
Dorsal Root Ganglia	0.806222806	0.034143444	0.239971409	1.37386022	0.151890654	0.033464158	2.184320466
Dorsal Striatum	0.678426648	1.66E-07	0.092328688	0.248927035	0.001193579	2.21E-06	1.73470779
Embryonic Stem Line Bruce4 P13	0	4.18E-05	0.00162637	0.016726619	0.030552171	0.000261856	0.165201664
Embryonic Stem Line V26 2 P16	0.151343247	1.26E-05	0.000181674	0.027379365	0.023719175	2.96E-06	0.043006826
Epidermis	1.794578887	0.012028435	0.002277912	0.345850255	0.057602895	0.009990455	0.05207962
Eyecup	0.423998783	0.07917142	0.142058194	1.154253519	0.014220264	0.153521528	0.050964037
Follicular B Cells	0	0.655830348	1.66469907	0.013462543	0.897311046	1.715464487	2.418889415
Granulo Monoprogenitor	0.349908577	0.280640964	0.846850187	1.278374753	0.195369757	1.410429749	0.200244686
Granulocytes	0	1.926816364	1.394142815	5.954462037	0.386069596	5.62135715	0.516451837
Heart	0.41856613	1.576302666	0.00607921	0.323471671	0.114581531	1.270613709	0.294375375
Hippocampus	0.72606677	6.43E-05	0.272889389	0.758294946	0.010517646	2.21E-05	2.504246869
Hypothalamus	0.384525808	4.44E-07	0.32138215	0.680886901	0.016510494	9.08E-06	2.538349743
Large Intestine	0.672114425	0.377094811	0.068772539	0.749074375	0.19027696	1.050054948	0.604678132
Small Intestine	1.599243842	3.243902637	0.016578022	0.752660126	2.72639168	5.322136414	0.476271617
Iris	0.791090959	0.005598139	0.184892296	0.95001278	0.008970819	0.004211526	0.235631752
Kidney	0.080958123	0.819695844	0.00227627	0.55823068	0.836383084	0.897783658	0.346338314
Lacrimal Gland	1.05756029	0.068950851	0.052906337	0.698934592	0.006114991	0.05766424	0.456137131
Lens	0.537265079	0.009970785	0.031565164	1.583271326	0.090948115	0.009649721	0.045847878
Liver	1.050783698	1.497318897	0.00110889	0.084522535	0.86435521	1.173883961	0.027253983
Lung	0.26131132	0.756459138	0.025783895	1.218927257	0.31628666	2.97313765	0.095223022
Lymph Nodes	0	3.062631999	0.653465198	0.045818062	3.413470639	6.788522849	3.171152857
mIMCD-3 Cells	0.542795136	0.111974767	0.000243479	0.379199518	1.003731113	0.491384063	0.135870849
Macrophage Bone Marrow	0.98923338	14.08574183	0.247087254	1.656014144	4.865256432	28.17524741	0.143170796
Macrophage Bone Marrow Lps 24 Hrs	1.585796823	31.85554711	0.188965531	2.226576773	8.09450347	44.92473967	0.102108737
Macrophage Bone Marrow Lps 2Hrs	0.947822751	22.20105727	0.549365995	2.703750686	6.614209308	39.55669516	0.05187667
Macrophage Bone Marrow Lps 6Hrs	2.198061739	40.6701571	0.120659273	1.997557376	12.71969528	55.20490835	0.020258123
Macrophage Peri 	0.602350676	13.4694058	0.334916914	1.134689613	3.940616294	25.22910511	0.515245528
Macrophage Peri Lps 1Hrs	2.44476303	20.7315424	0.232264151	1.142970237	5.952711841	35.93782648	0.254436666
Macrophage Peri Lps 7Hrs	2.864335753	48.11684863	0.008556075	0.393529806	14.92062275	63.68595815	0.003981856
Mammary Gland	0.530903619	1.702494681	0.04047161	1.047910198	0.734878789	2.203258151	0.115703801
Mammary Gland Non-Lactating	0.367930914	0.325296151	0.043370872	0.839696026	0.121562384	0.254461282	0.261614853
Mast Cells	0.51846425	5.298464874	3.950650967	2.704782745	0.236293171	7.374724925	2.348252681
Mast Cells IgE	0.585670195	1.602081007	4.186818713	3.307433218	0.342652428	3.739231152	1.516999624
Mast Cells IgE 1hr	1.879659683	4.350131906	3.290446858	2.866626973	0.812406796	6.733649533	2.117083239
Mast Cells IgE 6hr	0.257517327	2.591793342	4.288829958	3.225219721	0.617564335	4.689241037	2.980686821
Megaerythrocyte Progenitor	0	0.189597507	0.218229491	0.049444409	0.234184032	0.16361026	0.030922429
Microglia	1.341208386	13.5781312	0.215193058	2.013049133	6.161344586	26.40086495	0.371571262
MIN6 cells	0.122651728	2.58E-08	0.172279356	0.498074525	0.000840368	1.45E-06	0.636789228
Neuro2a Neuroblastoma Cells	0.148302239	0.019429275	0.209743614	1.385453494	0.162136262	0.045339971	1.482036135
NIH 3T3	0.207572768	0.148392008	0.035784021	0.097315002	0.551717005	0.18933201	0.168649075
Nucleus Accumbens	0.348025777	2.70E-08	0.308147665	0.262971854	7.47E-05	1.04E-06	2.844299891
Olfactory Bulb	0.396086541	1.72E-05	0.491016681	0.394539823	0.004492973	4.76E-06	2.575903117
Osteoblast Day14	0.725322906	0.109038961	0.110152675	0.462821136	0.355642352	0.325072229	0.984760156
Osteoblast Day21	0.718641805	1.234886997	0.284568724	1.294924976	0.998902111	2.501918087	1.18983218
Osteoblast Day5	0.420593617	0.178512192	0.133732983	0.328455821	0.288525239	0.329768595	0.710527753
Osteoclasts	0.185364848	17.49524136	0.829748287	2.654475213	7.123458387	30.28328811	0.493479454
Ovary	0.136275208	0.179977457	0.099054931	0.627048481	0.599788799	0.265262654	0.419571647
Pancreas	0.210287618	0.007554696	0.19240321	0.271852081	0.011888715	9.59E-05	0.068661679
Pituitary	0.854902608	0.00099941	0.145503126	0.603355515	0.014456966	0.00031815	2.257629726
Placenta	1.241356256	1.121748932	0.495773151	1.903929619	0.686099651	1.486768672	0.981197354
Prostate	0.40469346	0.104365293	0.099086541	0.134296669	0.167834061	0.01640261	0.03392064
Retina	0.502319267	2.33E-07	0.005648208	0.626905825	0.000360998	2.83E-08	0.043821577
Retinal Pigment Epithelium	0.104274136	1.87E-05	0.103733534	1.094411181	0.004901082	0.000894405	0.283507674
Salivary Gland	1.726946472	0.004888379	0.022562899	0.420134344	0.001569949	0.016196754	0.352561545
Skeletal Muscle	0.376148859	0.721220471	0.091794161	1.519242903	0.01905715	0.409155072	0.889583974
Spinal Cord	0.411559952	0.000173438	0.741767911	1.488727937	0.012044789	6.39E-05	2.508247129
Spleen	0	3.423723449	1.839853781	0.620180413	2.079527927	5.531986754	2.616043179
Hematopoietic Stem Cells	0	0.015472035	4.188255736	1.597709141	0.057462376	0.319447668	1.007525725
Stomach	2.013033572	0.033671187	0.003604288	0.395982551	0.026434443	0.072413115	0.020068052
Testis	0.035531496	0	5.32E-11	0.000124782	4.44E-06	4.34E-15	0.000105064
CD4+/CD8+ DP Thymocytes	0	0.003846188	0.527524175	0.130153423	0.031755897	7.12E-05	2.388374159
CD4+ SP Thymoctyes	0	0.094780445	1.62415946	0.043302412	0.045411502	0.013019826	3.921885878
CD8+ SP Thymocytes	0	0.015843454	1.9554296	0.017181836	0.01464249	0.004648049	4.108580506
Umbilical Cord	0.328782489	0.003576643	0.027424975	1.375386837	0.001055062	0.01574402	0.166177894
Uterus	0.837504478	1.273805729	0.343112116	1.829342047	0.720727705	2.71508433	0.672191574
