




Analysis Type:	PANTHER Overrepresentation Test (Released 20190701)
Annotation Version and Release Date:	GO Ontology database  Released 2019-02-02
Analyzed List:	InfAvsB_wk10_down.txt (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	InfAvsB_wk10_down.txt (528)	InfAvsB_wk10_down.txt (expected)	InfAvsB_wk10_down.txt (over/under)	InfAvsB_wk10_down.txt (fold Enrichment)	InfAvsB_wk10_down.txt (raw P-value)	InfAvsB_wk10_down.txt (FDR)
complement activation, classical pathway (GO:0006958)	12	7	.49	+	14.30	4.56E-06	2.57E-03
zymogen activation (GO:0031638)	11	6	.45	+	13.37	3.01E-05	9.15E-03
complement activation (GO:0006956)	18	9	.73	+	12.26	5.08E-07	3.76E-04
positive regulation of T cell migration (GO:2000406)	13	6	.53	+	11.31	6.18E-05	1.38E-02
positive regulation of lymphocyte migration (GO:2000403)	14	6	.57	+	10.51	8.53E-05	1.74E-02
axon extension (GO:0048675)	15	6	.61	+	9.81	1.16E-04	2.07E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	18	7	.73	+	9.53	3.54E-05	9.33E-03
ATP generation from ADP (GO:0006757)	21	7	.86	+	8.17	7.88E-05	1.67E-02
glycolytic process (GO:0006096)	21	7	.86	+	8.17	7.88E-05	1.64E-02
positive regulation of chemokine production (GO:0032722)	25	8	1.02	+	7.84	3.08E-05	9.11E-03
regulation of T cell migration (GO:2000404)	19	6	.78	+	7.74	3.30E-04	4.44E-02
ADP metabolic process (GO:0046031)	28	8	1.14	+	7.00	6.05E-05	1.40E-02
response to interferon-gamma (GO:0034341)	43	12	1.75	+	6.84	1.09E-06	7.17E-04
positive regulation of interleukin-6 production (GO:0032755)	38	10	1.55	+	6.45	1.34E-05	5.12E-03
cellular response to interferon-gamma (GO:0071346)	35	9	1.43	+	6.30	4.24E-05	1.07E-02
humoral immune response (GO:0006959)	43	11	1.75	+	6.27	6.25E-06	3.08E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	32	8	1.31	+	6.13	1.34E-04	2.30E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	32	8	1.31	+	6.13	1.34E-04	2.27E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	32	8	1.31	+	6.13	1.34E-04	2.23E-02
protein processing (GO:0016485)	41	10	1.67	+	5.98	2.35E-05	7.34E-03
regulation of chemokine production (GO:0032642)	34	8	1.39	+	5.77	1.92E-04	3.03E-02
nucleoside diphosphate phosphorylation (GO:0006165)	36	8	1.47	+	5.45	2.69E-04	4.03E-02
nucleotide phosphorylation (GO:0046939)	36	8	1.47	+	5.45	2.69E-04	3.98E-02
positive regulation of interferon-gamma production (GO:0032729)	37	8	1.51	+	5.30	3.16E-04	4.35E-02
regulation of interleukin-6 production (GO:0032675)	53	11	2.16	+	5.09	3.41E-05	9.84E-03
positive regulation of cytokine secretion (GO:0050715)	53	11	2.16	+	5.09	3.41E-05	9.61E-03
defense response to bacterium (GO:0042742)	49	10	2.00	+	5.00	8.74E-05	1.75E-02
nucleoside diphosphate metabolic process (GO:0009132)	47	9	1.92	+	4.69	2.98E-04	4.20E-02
protein maturation (GO:0051604)	69	13	2.81	+	4.62	1.66E-05	6.14E-03
regulation of interferon-gamma production (GO:0032649)	48	9	1.96	+	4.60	3.42E-04	4.55E-02
positive regulation of leukocyte migration (GO:0002687)	49	9	2.00	+	4.50	3.91E-04	4.98E-02
innate immune response (GO:0045087)	189	33	7.71	+	4.28	3.59E-11	1.42E-07
regulation of cytokine secretion (GO:0050707)	84	13	3.43	+	3.79	1.01E-04	1.94E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	72	11	2.94	+	3.75	3.78E-04	4.87E-02
ATP metabolic process (GO:0046034)	79	12	3.22	+	3.72	2.18E-04	3.35E-02
regulation of angiogenesis (GO:0045765)	117	17	4.77	+	3.56	1.89E-05	6.58E-03
activation of immune response (GO:0002253)	126	18	5.14	+	3.50	1.33E-05	5.42E-03
positive regulation of response to external stimulus (GO:0032103)	119	17	4.85	+	3.50	2.30E-05	7.36E-03
defense response to other organism (GO:0098542)	126	18	5.14	+	3.50	1.33E-05	5.24E-03
positive regulation of peptide secretion (GO:0002793)	92	13	3.75	+	3.46	2.29E-04	3.47E-02
positive regulation of DNA-binding transcription factor activity (GO:0051091)	110	15	4.49	+	3.34	1.10E-04	2.01E-02
immune response (GO:0006955)	384	52	15.66	+	3.32	5.73E-13	3.39E-09
adaptive immune response (GO:0002250)	97	13	3.96	+	3.29	3.63E-04	4.73E-02
positive regulation of secretion by cell (GO:1903532)	127	17	5.18	+	3.28	4.83E-05	1.19E-02
regulation of vasculature development (GO:1901342)	131	17	5.34	+	3.18	6.85E-05	1.50E-02
response to virus (GO:0009615)	108	14	4.41	+	3.18	2.97E-04	4.24E-02
positive regulation of secretion (GO:0051047)	136	17	5.55	+	3.06	1.04E-04	1.95E-02
defense response (GO:0006952)	361	45	14.73	+	3.06	2.65E-10	7.85E-07
positive regulation of defense response (GO:0031349)	139	17	5.67	+	3.00	1.32E-04	2.30E-02
positive regulation of cytokine production (GO:0001819)	192	23	7.83	+	2.94	1.23E-05	5.22E-03
