




Analysis Type:	PANTHER Overrepresentation Test (Released 20190701)
Annotation Version and Release Date:	GO Ontology database  Released 2019-02-02
Analyzed List:	InfBvsCont_wk10_up.txt (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	InfBvsCont_wk10_up.txt (1084)	InfBvsCont_wk10_up.txt (expected)	InfBvsCont_wk10_up.txt (over/under)	InfBvsCont_wk10_up.txt (fold Enrichment)	InfBvsCont_wk10_up.txt (raw P-value)	InfBvsCont_wk10_up.txt (FDR)
response to diacyl bacterial lipopeptide (GO:0071724)	6	6	.50	+	11.94	1.29E-04	1.63E-02
sphingosine metabolic process (GO:0006670)	7	7	.59	+	11.94	3.41E-05	5.86E-03
response to bacterial lipoprotein (GO:0032493)	6	6	.50	+	11.94	1.29E-04	1.61E-02
response to bacterial lipopeptide (GO:0070339)	6	6	.50	+	11.94	1.29E-04	1.59E-02
sphingoid biosynthetic process (GO:0046520)	6	6	.50	+	11.94	1.29E-04	1.58E-02
sphingoid metabolic process (GO:0046519)	7	7	.59	+	11.94	3.41E-05	5.77E-03
sphingosine biosynthetic process (GO:0046512)	6	6	.50	+	11.94	1.29E-04	1.56E-02
interferon-gamma-mediated signaling pathway (GO:0060333)	5	5	.42	+	11.94	4.95E-04	4.10E-02
cellular response to diacyl bacterial lipopeptide (GO:0071726)	5	5	.42	+	11.94	4.95E-04	4.07E-02
cellular response to bacterial lipopeptide (GO:0071221)	5	5	.42	+	11.94	4.95E-04	4.04E-02
cellular response to bacterial lipoprotein (GO:0071220)	5	5	.42	+	11.94	4.95E-04	4.01E-02
detection of other organism (GO:0098543)	7	6	.59	+	10.24	2.24E-04	2.48E-02
detection of bacterium (GO:0016045)	7	6	.59	+	10.24	2.24E-04	2.46E-02
detection of molecule of bacterial origin (GO:0032490)	8	6	.67	+	8.96	3.67E-04	3.27E-02
zymogen activation (GO:0031638)	11	8	.92	+	8.68	4.33E-05	6.93E-03
detection of external biotic stimulus (GO:0098581)	11	8	.92	+	8.68	4.33E-05	6.83E-03
detection of biotic stimulus (GO:0009595)	12	8	1.00	+	7.96	6.73E-05	9.60E-03
diol metabolic process (GO:0034311)	11	7	.92	+	7.60	2.40E-04	2.59E-02
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	15	9	1.26	+	7.16	4.29E-05	6.95E-03
complement activation, classical pathway (GO:0006958)	12	7	1.00	+	6.97	3.55E-04	3.21E-02
complement activation (GO:0006956)	18	9	1.51	+	5.97	1.24E-04	1.58E-02
response to interferon-gamma (GO:0034341)	43	20	3.60	+	5.55	2.64E-08	1.84E-05
toll-like receptor signaling pathway (GO:0002224)	30	13	2.51	+	5.17	1.33E-05	3.10E-03
ATP generation from ADP (GO:0006757)	21	9	1.76	+	5.12	3.07E-04	3.11E-02
cellular response to interferon-gamma (GO:0071346)	35	15	2.93	+	5.12	3.24E-06	1.01E-03
glycolytic process (GO:0006096)	21	9	1.76	+	5.12	3.07E-04	3.08E-02
sphingolipid biosynthetic process (GO:0030148)	21	9	1.76	+	5.12	3.07E-04	3.06E-02
positive regulation of response to cytokine stimulus (GO:0060760)	27	11	2.26	+	4.86	9.57E-05	1.29E-02
pattern recognition receptor signaling pathway (GO:0002221)	40	16	3.35	+	4.78	3.14E-06	1.03E-03
innate immune response-activating signal transduction (GO:0002758)	40	16	3.35	+	4.78	3.14E-06	1.00E-03
platelet activation (GO:0030168)	27	10	2.26	+	4.42	3.68E-04	3.25E-02
protein processing (GO:0016485)	41	15	3.43	+	4.37	1.51E-05	3.19E-03
ADP metabolic process (GO:0046031)	28	10	2.34	+	4.26	4.66E-04	3.91E-02
activation of innate immune response (GO:0002218)	54	19	4.52	+	4.20	1.82E-06	7.19E-04
positive regulation of tumor necrosis factor production (GO:0032760)	32	11	2.68	+	4.10	3.20E-04	3.11E-02
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	32	11	2.68	+	4.10	3.20E-04	3.08E-02
positive regulation of interleukin-6 production (GO:0032755)	38	12	3.18	+	3.77	3.30E-04	3.15E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	72	22	6.03	+	3.65	2.01E-06	7.45E-04
innate immune response (GO:0045087)	189	57	15.83	+	3.60	2.82E-14	1.11E-10
negative regulation of viral process (GO:0048525)	40	12	3.35	+	3.58	4.85E-04	4.05E-02
defense response to virus (GO:0051607)	69	19	5.78	+	3.29	3.35E-05	6.02E-03
protein maturation (GO:0051604)	69	19	5.78	+	3.29	3.35E-05	5.93E-03
regulation of cytokine secretion (GO:0050707)	84	23	7.03	+	3.27	5.60E-06	1.58E-03
sphingolipid metabolic process (GO:0006665)	52	14	4.35	+	3.21	4.29E-04	3.71E-02
regulation of interleukin-6 production (GO:0032675)	53	14	4.44	+	3.15	5.05E-04	4.04E-02
positive regulation of cytokine secretion (GO:0050715)	53	14	4.44	+	3.15	5.05E-04	4.01E-02
coagulation (GO:0050817)	57	15	4.77	+	3.14	3.33E-04	3.13E-02
hemostasis (GO:0007599)	57	15	4.77	+	3.14	3.33E-04	3.11E-02
blood coagulation (GO:0007596)	57	15	4.77	+	3.14	3.33E-04	3.08E-02
response to virus (GO:0009615)	108	28	9.04	+	3.10	1.39E-06	6.34E-04
positive regulation of DNA-binding transcription factor activity (GO:0051091)	110	28	9.21	+	3.04	1.89E-06	7.21E-04
defense response to other organism (GO:0098542)	126	32	10.55	+	3.03	3.70E-07	1.99E-04
positive regulation of innate immune response (GO:0045089)	91	23	7.62	+	3.02	1.69E-05	3.51E-03
defense response (GO:0006952)	361	91	30.23	+	3.01	8.36E-18	9.90E-14
regulation of response to cytokine stimulus (GO:0060759)	69	17	5.78	+	2.94	2.67E-04	2.80E-02
activation of immune response (GO:0002253)	126	31	10.55	+	2.94	1.00E-06	4.75E-04
inflammatory response (GO:0006954)	138	33	11.56	+	2.86	7.81E-07	4.02E-04
regulation of angiogenesis (GO:0045765)	117	27	9.80	+	2.76	2.22E-05	4.31E-03
regulation of innate immune response (GO:0045088)	136	31	11.39	+	2.72	5.27E-06	1.56E-03
immune response (GO:0006955)	384	84	32.16	+	2.61	1.80E-13	5.32E-10
response to other organism (GO:0051707)	302	66	25.29	+	2.61	1.23E-10	2.91E-07
response to external biotic stimulus (GO:0043207)	302	66	25.29	+	2.61	1.23E-10	2.42E-07
immune response-regulating signaling pathway (GO:0002764)	104	22	8.71	+	2.53	2.80E-04	2.88E-02
response to biotic stimulus (GO:0009607)	317	67	26.55	+	2.52	1.95E-10	2.88E-07
immune effector process (GO:0002252)	185	39	15.49	+	2.52	1.52E-06	6.66E-04
positive regulation of defense response (GO:0031349)	139	29	11.64	+	2.49	5.23E-05	7.84E-03
regulation of peptide secretion (GO:0002791)	159	33	13.32	+	2.48	1.38E-05	3.15E-03
