




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-07-03
Analyzed List:	upload_1 (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	upload_1 (1084)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to diacyl bacterial lipopeptide (GO:0071724)	6	6	.50	+	11.94	1.29E-04	1.66E-02
sphingosine metabolic process (GO:0006670)	7	7	.59	+	11.94	3.41E-05	5.90E-03
response to bacterial lipoprotein (GO:0032493)	6	6	.50	+	11.94	1.29E-04	1.64E-02
response to bacterial lipopeptide (GO:0070339)	6	6	.50	+	11.94	1.29E-04	1.62E-02
sphingoid biosynthetic process (GO:0046520)	6	6	.50	+	11.94	1.29E-04	1.61E-02
sphingoid metabolic process (GO:0046519)	7	7	.59	+	11.94	3.41E-05	5.82E-03
sphingosine biosynthetic process (GO:0046512)	6	6	.50	+	11.94	1.29E-04	1.59E-02
cellular response to diacyl bacterial lipopeptide (GO:0071726)	5	5	.42	+	11.94	4.95E-04	4.31E-02
cellular response to bacterial lipopeptide (GO:0071221)	5	5	.42	+	11.94	4.95E-04	4.28E-02
cellular response to bacterial lipoprotein (GO:0071220)	5	5	.42	+	11.94	4.95E-04	4.25E-02
detection of other organism (GO:0098543)	7	6	.59	+	10.24	2.24E-04	2.45E-02
detection of bacterium (GO:0016045)	7	6	.59	+	10.24	2.24E-04	2.43E-02
regulation of neuroinflammatory response (GO:0150077)	9	7	.75	+	9.29	9.91E-05	1.37E-02
zymogen activation (GO:0031638)	13	10	1.09	+	9.19	3.28E-06	1.12E-03
detection of molecule of bacterial origin (GO:0032490)	8	6	.67	+	8.96	3.67E-04	3.45E-02
detection of external biotic stimulus (GO:0098581)	11	8	.92	+	8.68	4.33E-05	7.07E-03
detection of biotic stimulus (GO:0009595)	12	8	1.00	+	7.96	6.73E-05	9.91E-03
interleukin-1 beta secretion (GO:0050702)	9	6	.75	+	7.96	5.72E-04	4.58E-02
interleukin-1 beta production (GO:0032611)	12	7	1.00	+	6.97	3.55E-04	3.42E-02
diol metabolic process (GO:0034311)	12	7	1.00	+	6.97	3.55E-04	3.39E-02
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	14	8	1.17	+	6.82	1.48E-04	1.79E-02
interleukin-1 production (GO:0032612)	13	7	1.09	+	6.43	5.10E-04	4.26E-02
sphingolipid biosynthetic process (GO:0030148)	20	9	1.67	+	5.37	2.31E-04	2.46E-02
response to interferon-gamma (GO:0034341)	37	16	3.10	+	5.16	1.39E-06	5.37E-04
positive regulation of response to cytokine stimulus (GO:0060760)	27	11	2.26	+	4.86	9.57E-05	1.34E-02
toll-like receptor signaling pathway (GO:0002224)	30	12	2.51	+	4.78	5.34E-05	8.39E-03
positive regulation of chemokine production (GO:0032722)	25	10	2.09	+	4.78	2.24E-04	2.47E-02
pattern recognition receptor signaling pathway (GO:0002221)	39	15	3.27	+	4.59	9.30E-06	2.13E-03
innate immune response-activating signal transduction (GO:0002758)	39	15	3.27	+	4.59	9.30E-06	2.09E-03
protein processing (GO:0016485)	47	18	3.94	+	4.57	1.27E-06	5.23E-04
cellular response to interferon-gamma (GO:0071346)	29	11	2.43	+	4.53	1.59E-04	1.86E-02
platelet activation (GO:0030168)	27	10	2.26	+	4.42	3.68E-04	3.43E-02
positive regulation of tumor necrosis factor production (GO:0032760)	33	12	2.76	+	4.34	1.12E-04	1.52E-02
