Cell_type	InfAvsCont_wk4_up	InfBvsCont_wk4_up	InfBvsCont_wk4_down	InfAvsB_wk4_up	InfAvsB_wk4_down	InfBvsCont_wk10_up	InfBvsCont_wk10_down
NK Cells	0	0.056481121	3.175239166	0.198349584	0.16984567	0.3241706	4.057518664
RAW 264.7 Cells	0.628569894	2.940624111	0.355371162	1.251761538	0.601734039	11.60715374	0.211505049
CD4+ T cells	0	0.010037687	1.5639283	0.105536061	0.002334166	0.001047792	4.496769087
CD8+ T cells	0	0.009746006	1.754287676	0.104587988	0.014799555	0.002297122	7.217776654
Foxp3+ Tcells	0	0.151307622	1.178806983	0.01416567	0.103987559	0.074423622	2.603408629
Adipose Brown	0.347187175	2.810432236	0.002088676	0.339399695	0.802465033	1.414921433	0.007306205
Bone	0	3.478502236	0.670579334	2.851590295	0.833376926	6.152518271	0.263136849
Bone Marrow	0	4.519187292	1.845215301	4.878323286	0.763138121	8.041697007	0.612189412
Cerebellum	0.879942308	0.00026758	0.729215187	0.91615697	0.017413063	0.001274117	4.585840183
Cerebral Cortex	0.637461107	5.55E-06	0.187262935	0.624776226	0.004418747	0.000100458	2.307714744
Cerebral Cortex Prefrontal	0.592834976	1.21E-06	0.231725874	0.72924363	0.002651253	1.17E-05	2.09426925
Common Myeloid Progenitor	0	0.132610737	2.367097163	0.674060638	0.081443478	0.525361129	0.682549086
CD8a+ Dend. Cells Lymphoid	0.254589251	3.432672159	1.514480841	1.373871474	2.976598448	7.005226281	0.371571262
CD8a+ Dend. Cells Myeloid	0	8.304959589	1.974315727	2.277421537	4.863664957	16.13440454	0.726071105
B220+ Dend. Cells	0.718489925	4.222922576	0.349428215	0.056296398	1.413605613	4.57476268	0.221142128
Dorsal Root Ganglia	0.806222806	0.034143444	0.239971409	1.37386022	0.151890654	0.033464158	2.184320466
Granulocytes	0	1.926816364	1.394142815	5.954462037	0.386069596	5.62135715	0.516451837
Hippocampus	0.72606677	6.43E-05	0.272889389	0.758294946	0.010517646	2.21E-05	2.504246869
Hypothalamus	0.384525808	4.44E-07	0.32138215	0.680886901	0.016510494	9.08E-06	2.538349743
Small Intestine	1.599243842	3.243902637	0.016578022	0.752660126	2.72639168	5.322136414	0.476271617
Lung	0.26131132	0.756459138	0.025783895	1.218927257	0.31628666	2.97313765	0.095223022
Lymph Nodes	0	3.062631999	0.653465198	0.045818062	3.413470639	6.788522849	3.171152857
Macrophage Bone Marrow	0.98923338	14.08574183	0.247087254	1.656014144	4.865256432	28.17524741	0.143170796
Macrophage Bone Marrow Lps 24 Hrs	1.585796823	31.85554711	0.188965531	2.226576773	8.09450347	44.92473967	0.102108737
Macrophage Bone Marrow Lps 2Hrs	0.947822751	22.20105727	0.549365995	2.703750686	6.614209308	39.55669516	0.05187667
Macrophage Bone Marrow Lps 6Hrs	2.198061739	40.6701571	0.120659273	1.997557376	12.71969528	55.20490835	0.020258123
Macrophage Peri 	0.602350676	13.4694058	0.334916914	1.134689613	3.940616294	25.22910511	0.515245528
Macrophage Peri Lps 1Hrs	2.44476303	20.7315424	0.232264151	1.142970237	5.952711841	35.93782648	0.254436666
Macrophage Peri Lps 7Hrs	2.864335753	48.11684863	0.008556075	0.393529806	14.92062275	63.68595815	0.003981856
Mammary Gland	0.530903619	1.702494681	0.04047161	1.047910198	0.734878789	2.203258151	0.115703801
Mast Cells	0.51846425	5.298464874	3.950650967	2.704782745	0.236293171	7.374724925	2.348252681
Mast Cells IgE	0.585670195	1.602081007	4.186818713	3.307433218	0.342652428	3.739231152	1.516999624
Mast Cells IgE 1hr	1.879659683	4.350131906	3.290446858	2.866626973	0.812406796	6.733649533	2.117083239
Mast Cells IgE 6hr	0.257517327	2.591793342	4.288829958	3.225219721	0.617564335	4.689241037	2.980686821
Microglia	1.341208386	13.5781312	0.215193058	2.013049133	6.161344586	26.40086495	0.371571262
Nucleus Accumbens	0.348025777	2.7E-08	0.308147665	0.262971854	7.47E-05	1.04E-06	2.844299891
Olfactory Bulb	0.396086541	1.72E-05	0.491016681	0.394539823	0.004492973	4.76E-06	2.575903117
Osteoblast Day21	0.718641805	1.234886997	0.284568724	1.294924976	0.998902111	2.501918087	1.18983218
Osteoclasts	0.185364848	17.49524136	0.829748287	2.654475213	7.123458387	30.28328811	0.493479454
Pituitary	0.854902608	0.00099941	0.145503126	0.603355515	0.014456966	0.00031815	2.257629726
Spinal Cord	0.411559952	0.000173438	0.741767911	1.488727937	0.012044789	6.39E-05	2.508247129
Spleen	0	3.423723449	1.839853781	0.620180413	2.079527927	5.531986754	2.616043179
Hematopoietic Stem Cells	0	0.015472035	4.188255736	1.597709141	0.057462376	0.319447668	1.007525725
Stomach	2.013033572	0.033671187	0.003604288	0.395982551	0.026434443	0.072413115	0.020068052
CD4+/CD8+ DP Thymocytes	0	0.003846188	0.527524175	0.130153423	0.031755897	7.12E-05	2.388374159
CD4+ SP Thymoctyes	0	0.094780445	1.62415946	0.043302412	0.045411502	0.013019826	3.921885878
CD8+ SP Thymocytes	0	0.015843454	1.9554296	0.017181836	0.01464249	0.004648049	4.108580506
Uterus	0.837504478	1.273805729	0.343112116	1.829342047	0.720727705	2.71508433	0.672191574
