animal_id	treatment_group	trt_rep	weeks_post_infection
856	uninfected	cont1	0
855	uninfected	cont2	0
849	uninfected	cont3	0
863	uninfected	cont4	0
846	uninfected	cont5	0
858	infected	inf1	0
867	infected	inf2	0
865	infected	inf3	0
851	infected	inf4	0
864	infected	inf5	0
869	infected	inf6	0
861	infected	inf8	0
847	infected	inf9	0
856	uninfected	cont1	4
855	uninfected	cont2	4
849	uninfected	cont3	4
863	uninfected	cont4	4
846	uninfected	cont5	4
858	infected	inf1	4
867	infected	inf2	4
865	infected	inf3	4
851	infected	inf4	4
864	infected	inf5	4
869	infected	inf6	4
861	infected	inf8	4
847	infected	inf9	4
856	uninfected	cont1	10
855	uninfected	cont2	10
849	uninfected	cont3	10
863	uninfected	cont4	10
846	uninfected	cont5	10
858	infected	inf1	10
867	infected	inf2	10
865	infected	inf3	10
851	infected	inf4	10
864	infected	inf5	10
869	infected	inf6	10
861	infected	inf8	10
847	infected	inf9	10
