genes	logFC	logCPM	LR	PValue	FDR						
SYT4	1.618538971	2.990947422	27.83797477	1.32E-07	0.001916013						
HBA	4.300956054	7.256643339	22.99634771	1.62E-06	0.008028361						
HBA1	4.299875567	7.25304677	22.95523385	1.66E-06	0.008028361						
MAP2	1.224223233	5.098550339	20.45745692	6.10E-06	0.017742796						
GAS2L1	1.23727615	4.568986479	20.45415704	6.11E-06	0.017742796						
SCARF1	0.904418354	4.141675154	19.7650138	8.76E-06	0.017994527						
MMP19	1.159356485	3.380474253	19.5281381	9.91E-06	0.017994527						
ARG1	4.473235951	-0.221949196	19.20191187	1.18E-05	0.017994527						
CA2	1.755525192	2.884384662	19.14754713	1.21E-05	0.017994527						
RIMBP3B	2.434860893	-0.50177979	19.10243708	1.24E-05	0.017994527						
CDHR5	5.225031086	1.108339835	18.84825375	1.42E-05	0.018689796						
CDKN1A	1.096234059	4.708208802	18.53217097	1.67E-05	0.019218001						
CLIC4	0.777658502	5.479775831	18.43553057	1.76E-05	0.019218001						
ALDOC	0.806330551	5.909845319	18.26511563	1.92E-05	0.019218001						
AP1M2	2.064735552	0.477126517	18.20396984	1.98E-05	0.019218001						
TLR5	1.424224763	2.931022586	17.35287104	3.10E-05	0.027957137						
RBM44	5.999568748	0.494082326	17.20357157	3.36E-05	0.027957137						
TMC1	1.956559142	1.706901156	17.14424917	3.46E-05	0.027957137						
IL17RC	1.081067741	3.182942815	16.82792408	4.09E-05	0.029954776						
SH3BP4	1.189230343	2.127554315	16.76224134	4.24E-05	0.029954776						
ARPIN	1.487837105	1.090961501	16.59084029	4.64E-05	0.029954776						
CFI	1.503055224	2.711060488	16.55760484	4.72E-05	0.029954776						
TNFSF9	0.979794509	2.86675507	16.53964945	4.76E-05	0.029954776						
SNX33	1.394249452	0.529838477	16.46735577	4.95E-05	0.029954776						
BPI	1.292921967	3.804744642	16.32095544	5.35E-05	0.031065713						
CD300LG	-6.106566103	1.01721123	16.1654417	5.80E-05	0.032426191						
HBB	2.698571716	8.776224663	15.86615866	6.80E-05	0.036572636						
SASH1	2.138744103	-0.161968256	15.66172268	7.57E-05	0.039290973						
NME8	2.135766495	1.078880566	15.53208787	8.11E-05	0.039416677						
SAMD4A	0.995124914	2.448646143	15.52523002	8.14E-05	0.039416677						
FAR2	0.865644897	3.419877126	15.40113513	8.69E-05	0.03994904						
LOC521224	1.12523667	3.633424705	15.37790017	8.80E-05	0.03994904						
ZC3H12C	0.782560196	4.385017217	15.12476946	0.000100634	0.0442943						
REEP1	3.21623924	-0.59190951	15.04984459	0.000104709	0.044732248						
HSPB6	1.468176036	0.521258672	14.93174298	0.000111472	0.046260681						
