genes	logFC	logCPM	LR	PValue	FDR								
SYT4	2.79540875	2.990947422	92.74190377	5.96E-22	8.65E-18								
FAR2	1.910631623	3.419877126	87.85746897	7.03E-21	5.11E-17								
CFI	3.236232199	2.711060488	86.6796346	1.28E-20	6.18E-17								
P2RY6	2.345151344	3.741448721	76.79151017	1.90E-18	6.90E-15								
ENO3	1.874655041	5.13895358	68.67788244	1.16E-16	3.30E-13								
NFE2L3	1.446811511	5.687688966	68.3579346	1.36E-16	3.30E-13								
P2RY1	2.055196001	5.1008191	67.27768675	2.36E-16	4.76E-13								
CXCL10	2.519140203	3.923442022	67.07020285	2.62E-16	4.76E-13								
FGF11	-3.069125086	0.912153859	65.99367241	4.52E-16	7.30E-13								
CD300LB	1.976776164	4.577198928	61.18292081	5.20E-15	7.55E-12								
SCIMP	1.346880406	5.657015308	59.19199244	1.43E-14	1.89E-11								
STEAP3	1.596540665	4.083727149	57.86374341	2.81E-14	3.40E-11								
ATP1A1	1.067623222	7.652319083	55.99163744	7.28E-14	8.13E-11								
CD86	1.265332239	5.915243836	55.58812036	8.94E-14	9.27E-11								
TXNDC16	1.881285893	2.949554404	54.52392096	1.54E-13	1.40E-10								
ANXA3	1.435611652	7.863875211	54.51088547	1.55E-13	1.40E-10								
DCHS1	-1.959858371	2.529573728	53.87856277	2.13E-13	1.82E-10								
MAFB	1.437830541	5.877004373	52.99421587	3.35E-13	2.57E-10								
CTTNBP2NL	2.260917305	3.169896999	52.98525925	3.36E-13	2.57E-10								
ATP6V1B2	0.966675299	7.13974112	52.82526657	3.65E-13	2.65E-10								
LDLRAD3	1.933924492	3.172303556	52.19953657	5.01E-13	3.33E-10								
MAP2	1.876164966	5.098550339	52.18813277	5.04E-13	3.33E-10								
NUPR1	3.435608296	4.53340776	51.63478858	6.68E-13	4.22E-10								
ACVRL1	1.632129758	5.550365238	51.44528179	7.36E-13	4.46E-10								
TSPAN33	1.931803369	3.119596352	51.35195228	7.72E-13	4.49E-10								
WC1.3	-1.869631367	8.180262444	51.08541287	8.84E-13	4.77E-10								
OPTN	1.074192181	5.411042892	51.07848471	8.87E-13	4.77E-10								
RAB7B	2.331168761	4.220623559	50.63504232	1.11E-12	5.77E-10								
DAB2	-3.537630555	1.431475756	49.61484183	1.87E-12	9.37E-10								
CCR2	1.207744711	6.881039074	47.19968893	6.41E-12	3.01E-09								
LOC507055	1.367798076	7.650440126	47.15511866	6.56E-12	3.01E-09								
LAP3	1.706181785	7.979447514	47.13475186	6.63E-12	3.01E-09								
COL18A1	-1.717367428	5.384191326	46.75976949	8.02E-12	3.50E-09								
TNFAIP8L3	3.518810671	0.125091455	46.72162632	8.18E-12	3.50E-09								
STX2	1.302588797	6.276796708	46.31774381	1.01E-11	4.09E-09								
C16H1orf115	2.299140754	4.323125536	46.30206671	1.01E-11	4.09E-09								
PECAM1	1.219536378	5.353353834	44.59241842	2.43E-11	9.52E-09								
MTHFD2	0.844678392	4.769103627	44.53222666	2.50E-11	9.56E-09								
C8H9orf72	1.060614725	5.027583668	44.4575547	2.60E-11	9.68E-09								
MMP14	3.408303263	-0.02624977	44.10438836	3.11E-11	1.13E-08								
SNX10	1.54523928	7.940153364	43.60661266	4.01E-11	1.42E-08								
LOC107132962	1.993824869	3.197994313	43.48684753	4.27E-11	1.48E-08								
MYOF	1.749169679	5.699686237	43.33513782	4.61E-11	1.55E-08								
KYNU	1.164785432	5.8248913	43.29650809	4.70E-11	1.55E-08								
HK2	1.216903777	4.681009696	43.20398296	4.93E-11	1.59E-08								
STXBP1	3.224149746	1.468946106	42.8823471	5.81E-11	1.82E-08								
TLR5	2.099133188	2.931022586	42.85184725	5.90E-11	1.82E-08								
