genes	logFC	logCPM	LR	PValue	FDR						
FAR2	2.535979925	3.419877126	151.9831516	6.39E-35	9.28E-31						
P2RY6	3.185806024	3.741448721	134.6605949	3.92E-31	2.84E-27						
CDKN1A	2.640991593	4.708208802	116.7885261	3.19E-27	1.55E-23						
CFI	3.846743696	2.711060488	115.2538228	6.92E-27	2.51E-23						
SYT4	3.08172954	2.990947422	109.9666355	9.97E-26	2.89E-22						
NUPR1	4.954202439	4.53340776	94.74985289	2.16E-22	5.23E-19						
ENO3	2.127539303	5.13895358	86.98039731	1.10E-20	2.27E-17						
LOC521214	3.668271664	1.803729335	85.56576812	2.24E-20	4.07E-17						
LOC507055	1.817254014	7.650440126	81.97835589	1.38E-19	2.22E-16						
LAP3	2.219861793	7.979447514	77.88256264	1.09E-18	1.59E-15						
STXBP1	4.533941588	1.468946106	74.70119888	5.48E-18	7.23E-15						
ZBP1	2.271927223	6.23651939	73.98739249	7.86E-18	9.52E-15						
WARS	1.481701204	8.266830842	73.43716165	1.04E-17	1.16E-14						
TNFAIP8L3	4.562241845	0.125091455	73.01119387	1.29E-17	1.34E-14						
OPTN	1.284428692	5.411042892	72.72304697	1.49E-17	1.44E-14						
TMC1	3.893463366	1.706901156	72.18567755	1.96E-17	1.78E-14						
DAB2	-4.794340422	1.431475756	71.92486084	2.24E-17	1.91E-14						
BAG3	1.317559469	4.453968194	71.03334404	3.51E-17	2.83E-14						
DHRS9	-2.104560632	3.275251889	69.80963518	6.53E-17	4.99E-14						
CXCL10	2.547295124	3.923442022	68.47992336	1.28E-16	9.31E-14						
NFE2L3	1.407844536	5.687688966	64.53993939	9.46E-16	6.54E-13						
CTSZ	1.507844258	7.35204552	64.33003743	1.05E-15	6.95E-13						
SORBS3	2.281293422	2.337084482	63.60944507	1.52E-15	9.58E-13						
ADAMDEC1	-3.671411662	4.992595781	63.24470096	1.83E-15	1.10E-12						
TXNDC16	2.009718841	2.949554404	62.42526038	2.77E-15	1.61E-12						
TLR5	2.573829771	2.931022586	62.35050324	2.87E-15	1.61E-12						
TNFSF9	1.766205913	2.86675507	62.04309172	3.36E-15	1.81E-12						
SCARF1	1.488027411	4.141675154	61.39657398	4.67E-15	2.42E-12						
ID1	3.900268056	1.50969594	61.07668808	5.49E-15	2.75E-12						
LOC513659	2.406045655	5.967527727	60.51018104	7.32E-15	3.54E-12						
ATP6V1B2	1.030017169	7.13974112	59.82060666	1.04E-14	4.87E-12						
MAFB	1.522616891	5.877004373	59.08334177	1.51E-14	6.82E-12						
LOC107132962	2.331719098	3.197994313	59.03471336	1.55E-14	6.82E-12						
ACE	3.393478104	2.494433375	58.88123026	1.67E-14	7.15E-12						
TBC1D9	1.831719266	5.388812438	58.64010667	1.89E-14	7.86E-12						
CA5B	-1.499086105	4.670640304	58.11204837	2.48E-14	9.99E-12						
C1R	3.91138073	5.578831335	57.93512287	2.71E-14	1.06E-11						
SMPD3	-4.125364233	2.009476528	57.68622546	3.07E-14	1.18E-11						
STK3	1.35267286	4.051710266	57.62163146	3.18E-14	1.18E-11						
IL7	1.617579931	2.95610131	57.03937887	4.27E-14	1.55E-11						
ADRB3	3.916190739	1.010483787	56.93541206	4.50E-14	1.60E-11						
ALOX15	-3.509370495	5.118942166	56.20424556	6.53E-14	2.26E-11						
RAB7B	2.454414765	4.220623559	55.62478867	8.77E-14	2.96E-11						
