genes	logFC	logCPM	LR	PValue	FDR			
SYT4	2.187136125	2.996393708	32.9054942	9.67495E-09	0.000138149			
CD300LB	1.517639424	4.610706363	27.53455457	1.54313E-07	0.001101716			
CTTNBP2NL	1.702226385	3.161469983	24.38748043	7.8779E-07	0.003749618			
CD86	0.896290128	5.927387743	22.2133401	2.43973E-06	0.007057485			
TXNDC16	1.394568574	2.978772491	22.18866779	2.47128E-06	0.007057485			
LOC104971180	1.673037296	1.303140714	21.77434702	3.06673E-06	0.007298312			
LDLRAD3	1.413113676	3.182736727	21.46980304	3.59445E-06	0.007332157			
GNB4	0.985541143	4.740981846	20.54531658	5.82361E-06	0.008743689			
TLR5	1.593582748	2.982353927	20.3966608	6.29395E-06	0.008743689			
LOC789229	-0.695750447	6.63683893	20.32700902	6.52727E-06	0.008743689			
CCR2	0.855488407	6.892404079	20.26683684	6.73581E-06	0.008743689			
LOC104970698	1.499087914	0.65130461	19.78647111	8.65934E-06	0.009212572			
CYFIP1	0.800929964	5.589231134	19.74749492	8.83775E-06	0.009212572			
ANXA3	0.999970619	7.881182695	19.54743909	9.81322E-06	0.009212572			
C3AR1	1.533113052	3.584803059	19.54115858	9.84553E-06	0.009212572			
HK2	0.862714335	4.706028973	19.38315574	1.06946E-05	0.009212572			
LOC100848940	-0.606843232	9.857098113	19.33445976	1.09708E-05	0.009212572			
MAP2	1.319631537	5.078641118	19.22580346	1.16133E-05	0.009212572			
LOC512286	0.839447989	6.0478942	18.72629547	1.50887E-05	0.011339581			
P2RY1	1.415424668	5.104023392	18.46475976	1.73075E-05	0.012356702			
ARHGAP32	2.807887433	0.133481949	18.31621812	1.87107E-05	0.012722418			
CFI	2.396184534	2.702172806	18.06392438	2.13611E-05	0.013864302			
PLPPR1	-2.694075001	-0.88662734	17.91178891	2.31383E-05	0.014335255			
MYOF	1.245184463	5.717487	17.71898274	2.56059E-05	0.014335255			
TMEM51	1.74767237	3.052691191	17.69365328	2.59491E-05	0.014335255			
STEAP3	1.069225018	4.084608891	17.68244644	2.61024E-05	0.014335255			
ARPIN	1.244063898	1.114072867	17.52663244	2.83311E-05	0.014773388			
ACVRL1	1.117830985	5.55388556	17.48427068	2.89695E-05	0.014773388			
HES4	1.746298402	4.068259029	17.36952686	3.0772E-05	0.014953532			
TGM3	-1.637056033	7.701579571	17.3196689	3.159E-05	0.014953532			
SH3GLB1	0.478310451	5.751863837	17.26778644	3.24644E-05	0.014953532			
EHD4	0.85626035	3.473688859	17.10758561	3.53209E-05	0.01515917			
ZC3H12C	0.709805895	4.386875546	17.03495354	3.6698E-05	0.01515917			
GRAMD1C	0.727609524	5.255487482	17.02421902	3.69061E-05	0.01515917			
HMGCS1	0.532143771	6.769965112	16.93644033	3.86524E-05	0.01515917			
MOCOS	1.320247605	4.047167477	16.91354734	3.91214E-05	0.01515917			
ASPRV1	-1.447400057	0.23906608	16.86155975	4.02077E-05	0.01515917			
