genes	logFC	logCPM	LR	PValue	FDR		
SYT4	2.589356149	2.996393708	44.13595496	3.06342E-11	4.37426E-07		
CDKN1A	2.108119145	4.709888149	40.2511674	2.23322E-10	1.59441E-06		
TLR5	2.21434807	2.982353927	36.93577196	1.22085E-09	5.81086E-06		
P2RY6	2.707514841	3.823100905	34.75920123	3.73111E-09	1.33191E-05		
SCARF1	1.209557062	4.138441912	34.26515358	4.80916E-09	1.3734E-05		
TNFSF9	1.478232351	2.891511073	33.3230243	7.8053E-09	1.59995E-05		
FAR2	2.059713844	3.452376101	33.31354582	7.84344E-09	1.59995E-05		
C1R	3.430769667	5.655336086	32.51795881	1.18096E-08	2.10787E-05		
TMC1	3.380655047	1.755583803	32.11784425	1.45098E-08	2.18174E-05		
SAMD4A	1.344113876	2.452438761	31.90245168	1.62112E-08	2.18174E-05		
NME8	3.041082684	1.072692842	31.83231631	1.68073E-08	2.18174E-05		
RIMBP3B	2.741423202	-0.455701396	31.5411746	1.95256E-08	2.32338E-05		
LOC101906823	-2.713072683	0.053307394	31.38484101	2.11627E-08	2.32448E-05		
TXNDC16	1.665917061	2.978772491	31.14122958	2.39921E-08	2.44702E-05		
C3AR1	1.947406507	3.584803059	30.53609078	3.27713E-08	3.11961E-05		
STXBP6	1.46193193	2.640525263	30.23308949	3.83117E-08	3.41908E-05		
CMKLR1	1.700944814	3.427321608	29.62524771	5.24177E-08	4.34223E-05		
LOC513659	2.020951055	6.014869	29.54129983	5.47378E-08	4.34223E-05		
CFI	3.19194158	2.702172806	29.28211292	6.25706E-08	4.70235E-05		
HHLA2	4.980336759	1.13655543	28.94561062	7.44393E-08	5.31459E-05		
IL17RC	1.403056352	3.171625407	28.84554119	7.83861E-08	5.32988E-05		
TBC1D9	1.454747539	5.392064489	28.74847634	8.24147E-08	5.34909E-05		
GPHN	1.193728915	4.287976396	28.6332046	8.74694E-08	5.43033E-05		
ENO3	1.734397648	5.165964848	28.45777406	9.57645E-08	5.69759E-05		
LDLRAD3	1.643135093	3.182736727	28.17092523	1.1106E-07	6.34333E-05		
UST	0.822351054	4.694065066	28.04098373	1.18773E-07	6.52293E-05		
CD86	1.010002813	5.927387743	27.92922427	1.25835E-07	6.6548E-05		
LAP3	1.78213445	8.007382882	27.70654751	1.41184E-07	7.19988E-05		
CLIC4	0.921627372	5.483359956	27.58006173	1.50724E-07	7.37944E-05		
LOC101903126	1.857465237	8.592653683	27.52544648	1.55041E-07	7.37944E-05		
TPC3	2.428880912	4.816394427	26.99468808	2.04015E-07	9.39721E-05		
DOCK4	1.224049348	3.882054073	26.88618298	2.15796E-07	9.62923E-05		
BAG3	0.98021608	4.449953677	26.74792453	2.31801E-07	0.000100299		
CNDP2	0.807999804	6.965298322	26.60304016	2.4985E-07	0.00010239		
LGALS9	0.760833886	8.193566405	26.59437946	2.50973E-07	0.00010239		
NUPR1	4.132723044	4.521816914	26.50604768	2.62714E-07	0.000104203		
ZBP1	1.752962596	6.263025109	26.41997081	2.74686E-07	0.000106006		
TRAFD1	0.667841461	6.862954729	26.1950756	3.08609E-07	0.000115964		
SASH1	2.712496162	-0.112233651	26.08979632	3.25902E-07	0.000118165		
CSF1R	1.062682517	7.438345606	26.05971643	3.31019E-07	0.000118165		
GPBAR1	2.045406509	3.304510869	25.98470623	3.44133E-07	0.000119851		
STXBP1	3.971340037	1.556076526	25.89927759	3.59704E-07	0.000122291		
LOC511531	2.227776035	7.09604655	25.75923097	3.86773E-07	0.000128436		
CYFIP1	0.91741789	5.589231134	25.5627105	4.28236E-07	0.000138972		
ADRB3	3.340757096	1.088770615	25.45549531	4.52706E-07	0.000143649		
WARS	1.175679912	8.299200324	25.38000362	4.70773E-07	0.000146134		
SHISA5	0.902353362	6.315180986	25.22401568	5.10426E-07	0.000155072		
SLC12A7	1.369669447	6.718604429	25.14326623	5.32252E-07	0.000155226		
MITF	1.016139273	5.366634197	25.1417338	5.32675E-07	0.000155226		
OPTN	0.969322545	5.410041561	25.10061411	5.44155E-07	0.0001554		
LOC521214	3.02709685	1.868026088	25.01750626	5.68121E-07	0.000159063		
ID1	3.267171459	1.540017662	24.89720713	6.047E-07	0.000166048		
TCTN1	-1.201643175	4.29884129	24.78195773	6.41956E-07	0.000172953		
LOC101906105	2.828790309	-0.793946327	24.64260165	6.90092E-07	0.000182478		
ACP2	0.910681203	6.105296004	24.55650693	7.21622E-07	0.00018471		
KIAA0226L	-0.684992166	6.696671907	24.54909643	7.24403E-07	0.00018471		
ADAMTS2	0.946455717	5.136541898	24.40648722	7.80056E-07	0.000193824		
CCRL2	1.571211816	2.971532478	24.38868707	7.87297E-07	0.000193824		
SORBS3	1.791197779	2.360768008	24.29882352	8.24894E-07	0.000199353		
C16H1orf115	2.061283959	4.385884743	24.24199274	8.49596E-07	0.000199353		
ZPBP2	-0.629728076	5.219836344	24.23736467	8.51639E-07	0.000199353		
FAM26F	1.748855522	3.512024498	23.95569749	9.85781E-07	0.000227032		
LOC781710	2.307668875	6.304965621	23.87315752	1.02897E-06	0.000233216		
SNX10	1.389794524	7.961936921	23.79906664	1.06934E-06	0.00023858		
TXNL4B	0.659935659	5.180790416	23.7183508	1.11514E-06	0.000243179		
ROR2	1.961132966	1.018456722	23.703094	1.12402E-06	0.000243179		
NLRC4	1.199326141	5.206772789	23.58594918	1.19457E-06	0.000250843		
MAFB	1.181276554	5.881020136	23.58593272	1.19458E-06	0.000250843		
NFE2L3	1.137466321	5.707097712	23.4246554	1.29903E-06	0.000268824		
MPEG1	0.866508093	8.465458865	23.30441906	1.38282E-06	0.000280257		
PKLR	1.861292929	0.963349624	23.28957308	1.39353E-06	0.000280257		
ARHGAP17	0.666426937	6.996326658	23.25137599	1.42149E-06	0.000281909		
LOC521224	1.288763478	3.631227992	23.21993548	1.44492E-06	0.000282128		
MYOF	1.43869946	5.717487	23.19719066	1.46211E-06	0.000282128		
ABCA3	0.876468347	5.538996942	23.09893469	1.53876E-06	0.000292959		
LOC507055	1.401236922	7.69484133	23.07102914	1.56126E-06	0.000293331		
RAB7B	2.012475616	4.26571863	23.04182737	1.58515E-06	0.00029371		
AXL	2.012797966	2.312200433	23.01860384	1.60441E-06	0.00029371		
CTTNBP2NL	1.648577913	3.161469983	22.8823884	1.72223E-06	0.000300966		
MOCOS	1.550679386	4.047167477	22.87372751	1.73E-06	0.000300966		
PLCB3	0.663815489	4.95142964	22.86361584	1.73913E-06	0.000300966		
TNFAIP8L3	3.966162073	0.23301522	22.85288551	1.74887E-06	0.000300966		
ANXA3	1.084554917	7.881182695	22.83060957	1.76925E-06	0.000300966		
TMEM71	-0.609458786	7.542794879	22.82924124	1.77051E-06	0.000300966		
SPATA6L	-2.684663396	2.745747589	22.76174125	1.8338E-06	0.000301995		
ATP6V1B2	0.810106894	7.161154091	22.73964642	1.85501E-06	0.000301995		
LOC107132962	1.828477764	3.200717507	22.73238184	1.86203E-06	0.000301995		
