genes	logFC	logCPM	LR	PValue	FDR	
NUPR1	-4.473508174	4.53340776	52.38162667	4.56979E-13	6.59011E-09	
FAR2	-1.670335028	3.419877126	51.03482544	9.07417E-13	6.59011E-09	
ADAMDEC1	3.390446451	4.992595781	49.94500569	1.58116E-12	7.65545E-09	
P2RY6	-2.186665729	3.741448721	47.97931323	4.3074E-12	1.56412E-08	
HBA	7.554369673	7.256643339	44.87464087	2.10061E-11	5.32169E-08	
HBA1	7.550942964	7.25304677	44.78564081	2.19829E-11	5.32169E-08	
DAB2	3.953649571	1.431475756	44.17333622	3.00547E-11	6.23636E-08	
LOC507055	-1.522163329	7.650440126	41.33908378	1.27984E-10	2.32371E-07	
ALAS2	5.624661218	4.194653449	40.33108575	2.14371E-10	3.12458E-07	
IL7	-1.591070485	2.95610131	40.32429048	2.15118E-10	3.12458E-07	
DHRS9	1.693299226	3.275251889	38.88130751	4.50373E-10	5.94697E-07	
LOC521214	-2.808925673	1.803729335	38.21577823	6.33382E-10	7.15981E-07	
CA5B	1.324992467	4.670640304	38.19302975	6.40809E-10	7.15981E-07	
LOC104973494	2.484832251	3.456439107	37.48029049	9.23414E-10	9.58042E-07	
LOC785168	2.038206589	6.659279849	36.86304357	1.26725E-09	1.22712E-06	
RPS6KA2	0.975441735	5.156084343	36.07112398	1.90245E-09	1.72707E-06	
CFI	-2.343688472	2.711060488	34.43389259	4.40977E-09	3.76776E-06	
TNFAIP8L3	-3.351782251	0.125091455	33.34489277	7.71802E-09	5.93416E-06	
ELANE	2.659169729	1.709114317	33.33373901	7.76242E-09	5.93416E-06	
SMPD3	3.202413198	2.009476528	32.3310817	1.30017E-08	9.44248E-06	
GNS	-0.804127069	6.638383718	31.78749925	1.71996E-08	1.18964E-05	
MT2A	-2.415425272	2.227570522	31.67264547	1.82474E-08	1.20475E-05	
PI16	1.977969979	0.983472192	31.53782789	1.95593E-08	1.23031E-05	
LOC616782	1.897525281	5.072799748	31.46290579	2.03287E-08	1.23031E-05	
HIST1H1D	-1.721843418	3.845257712	31.37872689	2.12294E-08	1.23343E-05	
PADI4	1.618920917	5.721634568	31.11394141	2.43318E-08	1.35851E-05	
